market_id,statistical_area_type,statistical_area_id,zip_list,statistical_area_name,relationship_type,mapping_rationale
OR-BEND,CBSA,13460,,Bend OR,primary,Metropolitan area represents entire Central Oregon high desert market separated from Willamette Valley by Cascade Mountains served by St. Charles Health System
OR-BEND,County,41017,,Deschutes County OR,primary,County coverage represents core Central Oregon market including Bend and resort communities
OR-CORVALLIS,CBSA,18700,,Corvallis OR,primary,Metropolitan area represents Mid-Willamette Valley market centered on Oregon State University separate from Salem 40 miles north and Eugene 50 miles south
OR-CORVALLIS,County,41003,,Benton County OR,primary,County represents Corvallis market served by Samaritan Health Services
OR-EUGENE,CBSA,21660,,"Eugene-Springfield, OR",primary,Metropolitan area represents Southern Willamette market 110 miles south of Portland served by PeaceHealth Sacred Heart and McKenzie-Willamette
OR-EUGENE,County,41039,,Lane County OR,primary,County extends Eugene market coverage to coastal range and valley areas beyond metro boundary
OR-MEDFORD,CBSA,32780,,Medford OR,primary,Metropolitan area represents Rogue Valley market near California border serving southern Oregon isolated from Eugene by 70+ miles
OR-MEDFORD,County,41029,,Jackson County OR,primary,County coverage represents southern Oregon market served by Asante Health System
OR-MEDFORD,CBSA,38900,,"Portland-Vancouver-Hillsboro, OR-WA",secondary,Complex tertiary cases referred to OHSU in Portland 270 miles north
OR-PENDLETON,County,41059,,Umatilla County OR,primary,County represents Eastern Oregon market serving Blue Mountains region separated from Portland by Cascade Mountains served by CHI St. Anthony Hospital
OR-PORTLAND,CBSA,38900,,"Portland-Vancouver-Hillsboro, OR-WA",primary,Cross-border metropolitan area integrated by MAX light rail and I-5 I-205 bridges serving Portland OR and Vancouver WA as single market with OHSU Legacy Health Providence Kaiser anchors
OR-SALEM,CBSA,41420,,Salem OR,primary,Metropolitan area represents state capital market 50 miles south of Portland with Salem Health anchor separate from metro
OR-SALEM,County,41047,,Marion County OR,primary,County coverage beyond metro boundary represents mid-Willamette Valley market
WA-BELLINGHAM,CBSA,13380,,Bellingham WA,primary,Metropolitan area represents Whatcom County Canadian border hub 90 miles north of Seattle served by PeaceHealth St. Joseph Medical Center
WA-BELLINGHAM,County,53073,,Whatcom County WA,primary,County represents northwest corner market separate from Seattle metro
WA-BREMERTON,CBSA,14740,,"Bremerton-Silverdale-Port Orchard, WA",primary,Metropolitan area represents ferry-dependent Kitsap Peninsula separated from Seattle by 60-minute Puget Sound ferry crossing
WA-BREMERTON,County,53035,,Kitsap County WA,primary,County represents entire peninsula market served by CHI Franciscan Harrison Medical Center and naval base economy
WA-OLYMPIA,CBSA,36500,,"Olympia-Lacey-Tumwater, WA",primary,Metropolitan area represents state capital 60 miles south of Seattle served by Providence St. Peter Hospital and Capital Medical Center
WA-OLYMPIA,County,53067,,Thurston County WA,primary,County represents South Puget Sound market separate from both Seattle and Tacoma
