market_id,statistical_area_type,statistical_area_id,zip_list,statistical_area_name,relationship_type,mapping_rationale
CA-BAKERSFIELD,CBSA,12540,,"Bakersfield, CA",primary,Metropolitan area represents southern San Joaquin Valley oil economy hub isolated from Fresno 110 miles north and LA 110 miles south by Tehachapi Mountains Grapevine creating absolute barrier
CA-BAKERSFIELD,County,06029,,Kern County CA,primary,Bakersfield anchor county serving oil and agriculture economy completely separate from LA Basin via I-5 Grapevine 4144 ft elevation and Fresno via SR-99 distance
CA-BAYAREA-EASTBAY-N,County,06001,"94501,94502,94536,94541,94542,94543,94544,94545,94546,94550,94551,94552,94555,94560,94577,94578,94579,94580,94601,94602,94603,94604,94605,94606,94607,94608,94609,94610,94611,94612,94613,94618,94619,94621,94701,94702,94703,94704,94705,94706,94707,94708,94709,94710,94712,94720",Alameda County CA,primary,Northern Alameda County Oakland Berkeley Alameda served by Alta Bates Highland Hospital Kaiser with BART Transbay Tube access 20 min to SF but distinct anchor systems justify separation from SF via Bay Bridge friction
CA-BAYAREA-EASTBAY-S,County,06001,"94538,94539,94550,94566,94568,94582,94583,94586,94587,94588",Alameda County CA,primary,Southern Alameda County Tri-Valley Pleasanton Livermore Dublin served by Stanford ValleyCare separate from Oakland 30 miles north and from SF via Dumbarton Bridge with I-680 corridor creating distance friction
CA-BAYAREA-MARIN,County,06041,,Marin County CA,primary,Marin County separated from SF by Golden Gate Bridge 20-40 min toll crossing serving wealthy peninsula San Rafael Novato Mill Valley with MarinHealth anchor distinct from SF via water barrier
CA-BAYAREA-PENINSULA,County,06081,,San Mateo County CA,primary,San Mateo County Peninsula Palo Alto Redwood City San Mateo with Stanford Health Mills-Peninsula anchors separated from SF 30 miles north by county line and Oakland via San Mateo Bridge with distinct suburban identity
CA-BAYAREA-SF,County,06075,,San Francisco County CA,primary,San Francisco proper city-county with UCSF academic medical center dense urban core separated from Oakland via Bay Bridge 30-60 min congestion and from Peninsula by city limits distinct anchor despite BART access
CA-BAYAREA-SONOMA,County,06097,,Sonoma County CA,primary,Sonoma County wine country Santa Rosa Petaluma separated from SF and all Bay Area by distance 50+ miles and no direct bridge access serving northern coastal region with Providence Sutter anchors
CA-BAYAREA-SOUTHBAY,County,06085,,Santa Clara County CA,primary,Santa Clara County San Jose Sunnyvale Mountain View serving South Bay tech economy 50 miles from SF with Stanford Kaiser El Camino anchors separate despite Caltrain due to distance and distinct medical systems
CA-BAYAREA-WALNUT,County,06013,,Contra Costa County CA,primary,Contra Costa County inland East Bay Walnut Creek Concord Pleasant Hill with John Muir Health anchor separated from Oakland 25 miles west by I-680 congestion Mt Diablo and from SF via BART 40+ min exceeding threshold
CA-CHICO,CBSA,17020,,"Chico, CA",primary,Metropolitan area represents northern Sacramento Valley Butte County hub with Enloe Medical Center isolated from Sacramento 90 miles south and Redding 90 miles north via SR-99 distance creating separate behavioral market
CA-CHICO,County,06007,,Butte County CA,primary,Butte County anchor with Chico downtown Paradise Oroville served by Enloe network separate from both northern and southern anchors by 90+ mile distances
CA-ELCENTRO,CBSA,20940,,"El Centro, CA",primary,Metropolitan area represents Imperial Valley far southeast desert isolated from San Diego 120 miles west by Laguna Mountains and I-8 desert crossing 2+ hours serving Arizona border agricultural region
CA-ELCENTRO,County,06025,,Imperial County CA,primary,Imperial Valley anchor county El Centro Calexico Brawley serving desert agriculture and Arizona border completely separate from San Diego via mountain and desert barriers extreme heat isolation
CA-EUREKA,CBSA,21700,,"Eureka-Arcata, CA",primary,Metropolitan area represents far north coast Humboldt County isolated by Coast Range terrain from Redding 140 miles east and Bay Area 280 miles south serving redwood region
CA-EUREKA,County,06023,,Humboldt County CA,primary,Humboldt County north coast anchor Eureka Arcata serving isolated region with St Joseph Mad River hospitals separated from all California metros by mountain barriers
CA-FRESNO,CBSA,23420,,"Fresno, CA",primary,Metropolitan area represents central San Joaquin Valley anchor Fresno County with Community Medical Saint Agnes serving agricultural region 110 miles from Bakersfield 90 miles from Modesto creating distinct market
