market_id,market_name,anchor_city,anchor_systems,primary_states,market_type,notes
CT-BRIDGEPORT,Greater Bridgeport,Bridgeport,St. Vincent's Medical Center; Bridgeport Hospital,CT,Suburban,Fairfield County coastal market with independent anchors separate from NYC and New Haven
CT-DANBURY,Greater Danbury,Danbury,Danbury Hospital; Nuvance Health,CT,Suburban,Western Connecticut hub serving I-84 corridor with congestion barriers to Hartford and NYC
CT-HARTFORD,Greater Hartford,Hartford,Hartford HealthCare; Trinity Health,CT,Core Metro,Central Connecticut anchor independent from Boston and NYC with I-84/I-91 congestion
CT-NEWHAVEN,Greater New Haven,New Haven,Yale New Haven Health System,CT,Core Metro,Academic medical center dominance with Metro-North commuter rail not collapsing NYC market
CT-NORWALK,Coastal Fairfield County,Norwalk,Norwalk Hospital; Stamford Hospital,CT,Suburban,Southwest Connecticut split from NYC despite proximity due to I-95 congestion and independent systems
CT-WATERBURY,Greater Waterbury,Waterbury,Waterbury Hospital; Saint Mary's Hospital,CT,Regional,Central Connecticut valley market separate from Hartford and New Haven
MA-BOSTON-CORE,Greater Boston,Boston,Mass General Brigham; Tufts Medical Center; Boston Medical Center,MA,Core Metro,Dense urban anchor with Red Line transit to Longwood medical district and multiple academic centers
MA-BOSTON-NORTH,North Shore Massachusetts,Salem,Mass General Brigham; Beth Israel Lahey Health,MA,Suburban,Route 1 and Tobin Bridge congestion creates 45+ min friction from Boston core despite system integration
MA-BOSTON-SOUTH,South Shore Massachusetts,Brockton,Beth Israel Lahey Health; Steward Health Care,MA,Suburban,Limited transit and distance creates independent routine care despite tertiary referrals to Boston
MA-SPRINGFIELD,Pioneer Valley,Springfield,Baystate Health,MA,Regional,Western Massachusetts anchor isolated from Boston and Hartford by 90+ min distance
MA-WORCESTER,Greater Worcester,Worcester,UMass Memorial Health; Saint Vincent Hospital,MA,Regional,Central Massachusetts hub 45+ min from Boston with no transit and independent academic center
ME-AUGUSTA,Central Maine,Augusta,MaineGeneral Medical Center,ME,Regional,Capital region serving mid-state with 45+ min to Portland
ME-BANGOR,Northern Maine,Bangor,Northern Light Eastern Maine Medical Center,ME,Regional,Regional hub for northern and eastern Maine with vast rural catchment
ME-LEWISTON,Lewiston-Auburn,Lewiston,Central Maine Medical Center,ME,Regional,Independent twin-city market though within potential Portland sphere
ME-PORTLAND,Greater Portland,Portland,Maine Medical Center,ME,Core Metro,Southern Maine anchor with academic medical center and coastal population concentration
NH-CONCORD,Greater Concord,Concord,Concord Hospital,NH,Regional,Capital region independent from Dartmouth-Hitchcock and Manchester
NH-LEBANON,Upper Valley,Lebanon,Dartmouth-Hitchcock Medical Center,NH,Regional,Academic center serving NH/VT border with long-distance tertiary referrals
NH-MANCHESTER,Greater Manchester,Manchester,Catholic Medical Center; Elliot Hospital,NH,Regional,Southern New Hampshire hub with balanced dual-anchor system
NH-PORTSMOUTH,Seacoast New Hampshire,Portsmouth,Portsmouth Regional Hospital,NH,Regional,Coastal market serving NH seacoast and southern Maine border
NJ-ATLANTICCITY,Atlantic City Region,Atlantic City,AtlantiCare Regional Medical Center,NJ,Regional,Southern New Jersey shore market isolated from Philadelphia by Garden State Parkway distance
NJ-CAMDEN,South Jersey,Camden,Cooper University Health Care; Virtua Health,NJ,Suburban,Delaware River crossing friction creates split from Philadelphia core despite proximity
NJ-HACKENSACK,Northern New Jersey,Hackensack,Hackensack Meridian Health; Valley Health System,NJ,Suburban,Bergen County anchor independent from NYC despite George Washington Bridge access
NJ-JERSEY-CITY,Hudson County,Jersey City,RWJBarnabas Health; CarePoint Health,NJ,Suburban,Hudson River waterfront with tunnel/ferry access to Manhattan but independent routine care
NJ-MORRISTOWN,North Central New Jersey,Morristown,Atlantic Health System,NJ,Suburban,Morris County hub with I-287 congestion separating from NYC and Hackensack
NJ-NEWARK,Greater Newark,Newark,RWJBarnabas Health; University Hospital,NJ,Core Metro,Essex County anchor with NJ Transit access but independent from NYC healthcare patterns
NJ-NEWBRUNSWICK,Central New Jersey,New Brunswick,RWJBarnabas Health; Robert Wood Johnson University Hospital,NJ,Regional,Middlesex County hub serving central corridor between NYC and Philadelphia spheres
NJ-TOMS-RIVER,Ocean County,Toms River,RWJBarnabas Health; Hackensack Meridian Health,NJ,Suburban,Shore region with Garden State Parkway creating distance from both NYC and Philadelphia
NJ-TRENTON,Greater Trenton,Trenton,Capital Health System,NJ,Regional,Capital region between Philadelphia and NYC with Delaware River friction and independent anchors
NY-ALBANY,Capital District,Albany,Albany Medical Center; St. Peter's Health Partners,NY,Regional,Upstate hub serving northeastern New York with independent academic center
NY-BINGHAMTON,Greater Binghamton,Binghamton,United Health Services,NY,Regional,Southern Tier hub 60+ min from Syracuse with Pennsylvania border catchment
