market_id,statistical_area_type,statistical_area_id,zip_list,statistical_area_name,relationship_type,mapping_rationale
DC-METRO-CORE,CBSA,47894,,"Washington-Arlington-Alexandria, DC-VA-MD-WV",primary,Metropolitan division represents DC-area core integrated by WMATA Metro serving DC proper Arlington Alexandria and inner Montgomery County with <45 min access to DC medical district
DC-METRO-CORE,County,11001,,District of Columbia,primary,DC proper urban core with GWU MedStar Georgetown Howard University Children's National hospitals all accessible via Metro and walkable within district
DC-METRO-CORE,County,24031,"20814,20815,20816,20817",Montgomery County MD,primary,Inner Montgomery County Bethesda area accessible via WMATA Red Line Medical Center station serving Suburban Hospital and NIH within 30 min door-to-door to DC hospitals
DC-METRO-CORE,County,51013,"22201,22202,22203,22204,22205,22207,22209",Arlington County VA,primary,Inner Arlington core neighborhoods within 1 mile of WMATA Orange Blue Silver Line stations including Rosslyn Courthouse Ballston Clarendon Virginia Hospital Center accessible via Metro
DC-METRO-CORE,County,51510,"22301,22302,22314",Alexandria City VA,primary,Old Town Alexandria accessible via WMATA Yellow Blue Line King Street station serving Inova Alexandria Hospital within 25 min trip to DC medical district
DE-DOVER,CBSA,20100,,Dover DE,primary,Metropolitan area represents central Delaware market between Wilmington and beach communities with Bayhealth anchor serving state capital
DE-DOVER,County,10001,,Kent County DE,primary,Central Delaware county served entirely by Bayhealth with Dover anchor no integration with Wilmington or Eastern Shore DE markets
DE-REHOBOTH,County,10005,,Sussex County DE,primary,Southern Delaware coastal market served by Beebe Healthcare covering beach communities Rehoboth Bethany rural Sussex County isolated from Dover and Wilmington
DE-WILMINGTON,CBSA,48864,,"Wilmington, DE-MD-NJ",primary,Cross-border metropolitan area represents northern Delaware hub integrated with Philadelphia I-95 corridor via economic commuting ties NOT Baltimore despite proximity
DE-WILMINGTON,County,10003,,New Castle County DE,primary,Northern Delaware served by ChristianaCare excluding Kent County with Philadelphia economic integration 30 miles south via I-95 not Baltimore 60+ miles west
MD-ANNAPOLIS,County,24003,,Anne Arundel County MD,primary,Western shore capital Bay Bridge and BWI corridor market served by UMMS Luminis Health separate from DC via I-97 50+ min and Baltimore via I-695 45+ min
MD-BALTIMORE,CBSA,12580,,"Baltimore-Columbia-Towson, MD",primary,Metropolitan area represents independent anchor 45+ min from DC via I-95 congestion through beltways with no transit connection Johns Hopkins UMMC dominance
MD-BALTIMORE,County,24005,,Baltimore County MD,primary,Suburban Baltimore ring served by Johns Hopkins satellite facilities and University of Maryland network Towson Dundalk Perry Hall communities
MD-BALTIMORE,County,24510,,Baltimore City MD,primary,Urban core with Johns Hopkins Hospital and University of Maryland Medical Center academic medical centers dominating downtown Inner Harbor Canton
MD-BALTIMORE,County,24013,,Carroll County MD,primary,Northwestern Baltimore suburbs extending market toward Westminster separate from Frederick 30+ min via MD-27 served by UMMS Carroll Hospital
MD-BALTIMORE,County,24025,,Harford County MD,primary,Northeastern Baltimore suburbs Bel Air Havre de Grace served by University of Maryland Upper Chesapeake extending market along I-95 corridor
MD-BALTIMORE,County,24027,,Howard County MD,primary,Southwestern Baltimore suburbs including Columbia Ellicott City served by Johns Hopkins Howard County General Hospital and UMMS extending market along US-29 corridor
MD-CUMBERLAND,County,24001,,Allegany County MD,primary,Western Maryland I-68 corridor hub with Western Maryland Health System serving Cumberland Frostburg isolated from Baltimore 130+ miles and DC 140+ miles by Appalachian Mountains
MD-CUMBERLAND,County,54057,,Mineral County WV,primary,Eastern WV panhandle cross-border integration with Cumberland via Route 28 closer to Cumberland 15 miles than Charleston 180+ miles or Morgantown 120+ miles Appalachian isolation
MD-EASTON,County,24029,,Kent County MD,primary,Upper Eastern Shore Chestertown area bay friction market served by University of Maryland Shore Medical Center isolated from mainland by Bay Bridge 30-60 min bottleneck
MD-EASTON,County,24035,,Queen Anne's County MD,primary,Bay Bridge eastern terminus Centreville Queenstown upper Delmarva served by UMMS Shore network isolated from Annapolis 20 miles west across Bay Bridge
MD-EASTON,County,24011,,Caroline County MD,primary,Eastern Shore agricultural region Denton Federalsburg south of Kent County served by University of Maryland Shore network Easton 25 miles north
MD-EASTON,County,24019,,Dorchester County MD,primary,Central Eastern Shore including Cambridge served by University of Maryland Shore Regional Health extending Easton market southward toward Salisbury
MD-EASTON,County,24041,,Talbot County MD,primary,Easton anchor county St. Michaels Oxford on upper Eastern Shore with bay friction from mainland Annapolis 20 miles west requires Bay Bridge crossing
MD-FREDERICK,County,24021,,Frederick County MD,primary,Western I-270 corridor market with Frederick Health anchor separate from DC 50 miles via I-270 60+ min congestion and Baltimore 45 miles via I-70 also 60+ min
MD-HAGERSTOWN,CBSA,25180,,"Hagerstown-Martinsburg, MD-WV",primary,Cross-border metropolitan area represents I-81 corridor market serving western Maryland and WV eastern panhandle integrated via daily commuting patterns
MD-HAGERSTOWN,County,24043,,Washington County MD,primary,Western Maryland I-81 hub Hagerstown Boonsboro with Meritus Health anchor separate from Baltimore 70 miles east via mountains and DC 70 miles southeast
MD-SALISBURY,CBSA,41540,,"Salisbury, MD-DE",primary,Cross-border metropolitan area represents lower Delmarva Peninsula market created by Bay Bridge hard split integrating MD Eastern Shore with DE Sussex County
MD-SALISBURY,County,24039,,Somerset County MD,primary,Lower Eastern Shore Crisfield Princess Anne served by TidalHealth network extending Salisbury market to southern tip of Delmarva Peninsula
