market_id,statistical_area_type,statistical_area_id,zip_list,statistical_area_name,relationship_type,mapping_rationale
CT-BRIDGEPORT,County,09001,"06604,06605,06606,06607,06608,06610,06611,06673,06699",Fairfield County CT,primary,Fairfield County coastal market Bridgeport Fairfield Stratford with St Vincent Bridgeport Hospital anchors separated from NYC 60 miles via I-95 congestion and New Haven 20 miles via independent systems
CT-DANBURY,County,09001,"06801,06810,06811,06812,06813,06814,06816,06817,06878,06896",Fairfield County CT,primary,Western Connecticut inland Fairfield County Danbury Ridgefield Bethel Brookfield via Route 7 I-84 corridor with Nuvance Health anchor separated from Hartford 50 miles and NYC 60 miles via mountain terrain congestion
CT-HARTFORD,CBSA,25540,,"Hartford-East Hartford-Middletown, CT",primary,Metropolitan area represents central Connecticut capital Hartford HealthCare Trinity Health anchors independent from Boston 100 miles and NYC 120 miles via I-84 I-91 congestion creating distinct market
CT-HARTFORD,County,09003,,Hartford County CT,primary,Hartford County anchor capital region serving central Connecticut with I-84 I-91 corridor access independent academic and community systems
CT-HARTFORD,County,09013,,Tolland County CT,primary,Eastern Hartford suburbs extending market toward UConn area integrated with Hartford within 45 min threshold via I-84 corridor
CT-NEWHAVEN,CBSA,35300,,"New Haven-Milford, CT",primary,Metropolitan area represents Yale New Haven Health System academic dominance serving coastal Connecticut independent from NYC 80 miles despite Metro-North commuter rail requiring transfer
CT-NEWHAVEN,County,09009,"06510,06511,06512,06513,06515,06516,06517,06519,06524,06525,06473,06477",New Haven County CT,primary,New Haven anchor county coastal corridor New Haven Milford West Haven Orange with Yale academic medical center separated from Hartford 40 miles via I-91 and Waterbury 25 miles via distinct anchors
CT-NORWALK,County,09001,"06850,06851,06853,06854,06855,06870,06877,06878,06880,06883,06902,06903,06905,06906,06907",Fairfield County CT,primary,Southwest coastal Fairfield County Norwalk Stamford Darien New Canaan I-95 corridor with independent hospital systems separated from NYC 35 miles via I-95 congestion despite Metro-North requiring transfer to hospitals
CT-WATERBURY,County,09009,"06701,06702,06703,06704,06705,06706,06708,06710,06716,06720,06721,06722,06723,06724,06750,06751,06752,06753,06754,06755,06756,06757,06758,06759,06762,06770,06776,06778,06779,06782,06783,06784,06785,06786,06787,06790,06791,06792,06793,06794,06795,06796,06798",New Haven County CT,primary,Central Connecticut valley New Haven County inland Waterbury Naugatuck Thomaston via I-84 Route 8 corridor with Waterbury Hospital Saint Mary anchors separated from New Haven 30 miles and Hartford 35 miles via terrain congestion
MA-BOSTON-CORE,County,25025,,Suffolk County MA,primary,Boston proper dense urban core Suffolk County with Mass General Brigham Tufts Medical Boston Medical Center academic anchors serving downtown Longwood medical district Back Bay with subway access
MA-BOSTON-CORE,County,25017,"02138,02139,02140,02141,02142,02143,02144,02145,02148,02149,02150,02151,02152,02153,02155,02156,02176,02180",Middlesex County MA,primary,Inner Middlesex County Cambridge Somerville Medford Malden Everett Chelsea integrated with Boston via MBTA Red Line Orange Line within 30 min door-to-door Longwood MGH access creating behavioral integration
MA-BOSTON-NORTH,County,25009,"01901,01902,01904,01905,01906,01907,01908,01910,01915,01921,01922,01923,01929,01930,01938,01940,01944,01945,01949,01950,01951,01952,01960,01966,01969,01970,01982,01983,01984,01985",Essex County MA,primary,North Shore Essex County Salem Beverly Lynn Peabody Marblehead with Mass General Brigham Beth Israel Lahey anchors separated from Boston 15-20 miles via Tobin Bridge Route 1 congestion 45+ min creating independent routine care despite tertiary referrals
MA-BOSTON-SOUTH,County,25023,,Plymouth County MA,primary,South Shore Plymouth County Brockton Plymouth Marshfield with Beth Israel Lahey Steward Health anchors separated from Boston 30-40 miles via Route 3 limited MBTA access creating independent routine care patterns
