market_id,market_name,anchor_city,anchor_systems,primary_states,market_type,notes
IL-BLOOMINGTON,Bloomington-Normal,Bloomington,OSF HealthCare St. Joseph Medical Center; Advocate BroMenn Medical Center,IL,Regional,I-55 corridor central Illinois hub serving McLean County separate from both Peoria and Springfield
IL-CARBONDALE,Southern Illinois,Carbondale,Southern Illinois Healthcare,IL,Regional,Southern tip serving region separate from St. Louis by 100+ miles with Southern Illinois University presence
IL-CHAMPAIGN,East Central Illinois,Champaign,OSF HealthCare Heart of Mary Medical Center; Carle Foundation Hospital,IL,Regional,University of Illinois anchor serving east-central agricultural region separate from both Chicago and Springfield
IL-CHICAGO-CORE,Chicago Loop,Chicago,Northwestern Memorial Hospital; University of Chicago Medicine; Rush University Medical Center,IL,Core Metro,Downtown core with three academic medical centers serving Loop and Near North/South within crescent forced by Lake Michigan
IL-CHICAGO-DUPAGE,Northwest Suburbs,Naperville,Advocate Health; Northwestern Medicine,IL,Suburban,DuPage County serving Naperville Wheaton Elmhurst separated from core by I-294 ring road with independent Advocate anchors
IL-CHICAGO-KANE,West Suburbs,Aurora,Rush-Copley Medical Center; Advocate Sherman Hospital,IL,Suburban,Kane County serving Aurora Elgin St. Charles west of Chicago metro with distinct Rush and Advocate anchors
IL-CHICAGO-LAKE,North Lake County,Waukegan,Advocate Condell Medical Center; Vista Medical Center,IL,Suburban,Northern collar county serving Waukegan Libertyville Lake Forest separate from Chicago and north suburbs
IL-CHICAGO-NORTH,North Side,Chicago,Swedish Covenant Hospital; Advocate Illinois Masonic Medical Center; AMITA Health,IL,Core Metro,Lincoln Park Lakeview Uptown serving north city neighborhoods with community hospital anchors separate from Loop
IL-CHICAGO-NORTHSHORE,North Suburbs,Evanston,NorthShore University HealthSystem,IL,Suburban,Cook County north serving Evanston Skokie Wilmette with NorthShore academic system separate from city
IL-CHICAGO-SOUTH,South Side,Chicago,University of Chicago Medicine; Advocate South Suburban Hospital,IL,Core Metro,Hyde Park South Shore Chatham serving south city neighborhoods with U Chicago academic anchor
IL-CHICAGO-SOUTHSUBURBS,South Suburbs,Joliet,Advocate; Silver Cross Hospital,IL,Suburban,Will County serving Joliet Orland Park Tinley Park south of metro with independent suburban anchors
