market_id,market_name,anchor_city,anchor_systems,primary_states,market_type,notes
CA-BAKERSFIELD,Greater Bakersfield,Bakersfield,Dignity Health; Adventist Health,CA,Regional,Southern San Joaquin Valley hub serving Kern County with oil economy separate from both Fresno and LA by Tehachapi Mountains
CA-BAYAREA-EASTBAY-N,East Bay North,Oakland,Alta Bates Summit Medical Center; Highland Hospital; Kaiser,CA,Core Metro,Berkeley Oakland Alameda serving east side of bay with BART access but distinct from SF across bay bridge
CA-BAYAREA-EASTBAY-S,East Bay South,Pleasanton,Stanford Health Care ValleyCare; San Ramon Regional Medical Center,CA,Suburban,Pleasanton Livermore Dublin serving Tri-Valley area separate from Oakland by distance and hills
CA-BAYAREA-MARIN,North Bay Marin,San Rafael,MarinHealth Medical Center; Sutter Novato,CA,Suburban,Marin County separated from SF by Golden Gate Bridge serving wealthy coastal peninsula north of city
CA-BAYAREA-PENINSULA,Peninsula San Mateo,Palo Alto,Stanford Health Care; Mills-Peninsula Health; Kaiser,CA,Suburban,San Mateo County serving Peninsula from Palo Alto to San Mateo with Stanford academic anchor
CA-BAYAREA-SF,San Francisco,San Francisco,UCSF Health; Sutter Health; Chinese Hospital,CA,Core Metro,SF proper with UCSF academic medical center and dense urban core connected to East Bay via BART
CA-BAYAREA-SONOMA,North Bay Sonoma,Santa Rosa,Providence Santa Rosa Memorial; Sutter Santa Rosa Regional,CA,Regional,Sonoma County wine country separated from SF and Marin by hills serving northern Bay Area
CA-BAYAREA-SOUTHBAY,South Bay Santa Clara,San Jose,Stanford Health Care; Kaiser; El Camino Health,CA,Core Metro,Santa Clara County serving San Jose Sunnyvale Mountain View with tech economy separate from SF despite Caltrain
CA-BAYAREA-WALNUT,East Bay Contra Costa,Walnut Creek,John Muir Health,CA,Suburban,Walnut Creek Concord Pleasant Hill serving inland Contra Costa separate from Oakland by Mt. Diablo and distance
CA-CHICO,Northern Sacramento Valley,Chico,Enloe Medical Center,CA,Regional,Northern valley hub serving Butte County separate from Redding and Sacramento by 90+ miles
CA-ELCENTRO,Imperial Valley,El Centro,El Centro Regional Medical Center,CA,Regional,Far southeast desert valley isolated from San Diego by mountains serving Arizona border agricultural region
CA-EUREKA,North Coast,Eureka,St. Joseph Hospital; Mad River Community Hospital,CA,Regional,Far north coast isolated by terrain from both Redding and Bay Area serving Humboldt County
CA-FRESNO,Greater Fresno,Fresno,Community Medical Centers; Saint Agnes Medical Center,CA,Core Metro,Central Valley anchor serving Fresno County with distinct anchor systems 100+ miles from both Bakersfield and Modesto
