market_id,market_name,anchor_city,anchor_systems,primary_states,market_type,notes
AL-BIRMINGHAM,Greater Birmingham,Birmingham,UAB Health System; Brookwood Baptist Health,AL,Core Metro,State's dominant academic medical center with sprawling metro but manageable within 45-min rule
AL-DOTHAN,Wiregrass Region,Dothan,Southeast Health,AL,Regional,Southeast Alabama hub serving tri-state Wiregrass area with Alabama/Georgia/Florida borders
AL-HUNTSVILLE,North Alabama,Huntsville,Huntsville Hospital Health System,AL,Regional,North Alabama anchor with research/tech economy and Tennessee River valley catchment
AL-MOBILE,Mobile Bay,Mobile,USA Health; Infirmary Health,AL,Regional,Gulf Coast anchor serving coastal Alabama and Mississippi border with port city economy
AL-MONTGOMERY,Central Alabama,Montgomery,Baptist Health; Jackson Hospital,AL,Regional,State capital serving central Alabama corridor between Birmingham and Dothan
AL-TUSCALOOSA,West Alabama,Tuscaloosa,DCH Health System,AL,Regional,Separate from Birmingham despite proximity due to 60+ min travel and University of Alabama presence
FL-DAYTONA,Greater Daytona Beach,Daytona Beach,AdventHealth Daytona Beach,FL,Regional,I-95 corridor hub between Jacksonville and Orlando with distinct coastal market
FL-FORTMYERS,Southwest Florida,Fort Myers,Lee Health,FL,Regional,Gulf Coast anchor serving Cape Coral and barrier islands separate from both Naples and Sarasota
FL-FTLAUDERDALE,Broward County,Fort Lauderdale,Memorial Healthcare System; Broward Health,FL,Core Metro,I-95 corridor creates 60+ min from Miami with distinct county-level dominant systems
FL-GAINESVILLE,North Central Florida,Gainesville,UF Health,FL,Regional,Academic medical center serving vast north-central catchment between Jacksonville and Ocala
FL-JACKSONVILLE,Greater Jacksonville,Jacksonville,Baptist Health; UF Health Jacksonville; Mayo Clinic Florida,FL,Core Metro,Northeast Florida anchor with multiple competing systems and St. Johns River geography
FL-KEYS,Florida Keys,Key West,Lower Keys Medical Center,FL,Regional,Overseas Highway isolation creates 3+ hour travel from Miami with single-road access vulnerability
FL-LAKELAND,Polk County,Lakeland,Lakeland Regional Health; BayCare,FL,Regional,I-4 corridor hub between Tampa and Orlando serving central ridge communities
FL-MELBOURNE,Space Coast,Melbourne,Health First,FL,Regional,Atlantic coast market south of Daytona serving Brevard County with Cape Canaveral economy
FL-MIAMI,Miami-Dade,Miami,Jackson Health System; Baptist Health South Florida; University of Miami Health,FL,Core Metro,Dense urban core with safety net anchor and academic center separate from Broward by I-95 congestion
FL-NAPLES,Collier County,Naples,NCH Healthcare System,FL,Regional,Wealthy Gulf Coast market separate from Fort Myers with distinct demographics and systems
FL-OCALA,Marion County,Ocala,HCA Florida Ocala Hospital,FL,Regional,North-central hub between Gainesville and Orlando serving horse country and retiree communities
FL-ORLANDO,Greater Orlando,Orlando,AdventHealth Orlando; Orlando Health,FL,Core Metro,Central Florida anchor with I-4 sprawl creating large but manageable single market despite congestion
FL-PANAMA-CITY,Bay County,Panama City,HCA Florida Gulf Coast Hospital; Ascension Sacred Heart,FL,Regional,Panhandle central hub isolated from both Pensacola and Tallahassee by linear coastal distance
FL-PENSACOLA,Northwest Florida,Pensacola,Baptist Health Care; Ascension Sacred Heart,FL,Regional,Western Panhandle anchor serving Alabama border region with Gulf Coast military presence
FL-SARASOTA,Sarasota-Manatee,Sarasota,Sarasota Memorial Health Care System,FL,Regional,Gulf Coast market between Tampa and Fort Myers with wealthy demographics separate from both
FL-STAUGUSTINE,St. Johns County,St. Augustine,Flagler Health+,FL,Regional,North of Daytona serving coastal communities between Jacksonville and Daytona with tourism economy
FL-STPETE,Pinellas County,St. Petersburg,Bayfront Health St. Petersburg; BayCare,FL,Core Metro,Bay bridges create friction from Tampa despite proximity with distinct peninsula geography
FL-TALLAHASSEE,Florida Capital,Tallahassee,Tallahassee Memorial HealthCare,FL,Regional,State capital separate from both Panhandle coast and Peninsula Florida by Big Bend isolation
FL-TAMPA,Greater Tampa,Tampa,Tampa General Hospital; AdventHealth Tampa,FL,Core Metro,East Hillsborough anchor with I-275 corridor creating bay bridge friction to Pinellas County
FL-VEROBEACH,Treasure Coast,Vero Beach,Cleveland Clinic Indian River Hospital,FL,Regional,Atlantic coast between Melbourne and West Palm Beach serving barrier islands and mainland
FL-WESTPALM,Palm Beach County,West Palm Beach,Cleveland Clinic Florida; Jupiter Medical Center; Tenet Florida,FL,Core Metro,Tri-county area northern anchor 60+ min from Broward via I-95 with distinct wealthy demographics
GA-ALBANY,Southwest Georgia,Albany,Phoebe Putney Health System,GA,Regional,Southwest hub serving vast rural agricultural region isolated from both Macon and Columbus
GA-ATLANTA-CORE,Atlanta Core,Atlanta,Emory Healthcare; Grady Health System; Piedmont Healthcare,GA,Core Metro,Downtown and midtown concentration with MARTA limited access not extending to suburban hospital clusters
GA-ATLANTA-EAST,East Atlanta,Lawrenceville,Gwinnett Medical Center; Emory Healthcare,GA,Suburban,I-285 perimeter creates 60-90+ min friction from opposite metro sides serving Gwinnett County sprawl
