zip_code,market_id,relationship_type,mapping_rationale
97001,OR-BEND,primary,High desert with St Charles Health separated from Willamette Valley by Cascade barrier
97002,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97003,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97004,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97005,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97006,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97007,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97008,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97009,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97010,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97013,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97014,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97015,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97017,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97019,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97022,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97023,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97024,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97027,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97028,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97030,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97031,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97034,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97035,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97042,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97045,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97049,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97050,OR-BEND,primary,High desert with St Charles Health separated from Willamette Valley by Cascade barrier
97051,OR-BEND,primary,High desert with St Charles Health separated from Willamette Valley by Cascade barrier
97055,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97056,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97060,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97062,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97063,OR-BEND,primary,High desert with St Charles Health separated from Willamette Valley by Cascade barrier
97067,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97068,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97070,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97071,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97076,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97077,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97078,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97080,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97086,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97089,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97113,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97116,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97117,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
97119,OR-PORTLAND,primary,Portland metro with OHSU Legacy Providence Kaiser within 15-35 min includes Vancouver WA via MAX
